BIOGUIDE_ID,OFFICE,QUARTER,PROGRAM,CATEGORY,DATE,TRANSCODE,RECORDID,PAYEE,START DATE,END DATE,PURPOSE,AMOUNT,YEAR,RECIP (orig.)
W000816,HON. ROGER WILLIAMS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/30/2017,AP,901034,CITIBANK GOV CARD SERVICE,11/7/2016,11/14/2016,TAXI/PARKING/TOLLS,230.98,2016,CITIBANK GOV CARD SERVICE
Y000063,HON. KEVIN YODER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/10/2017,AP,E0485363,CITIBANK GOV CARD SERVICE,1/6/2017,1/21/2017,TAXI/PARKING/TOLLS,265,2017,CITIBANK GOV CARD SERVICE
Y000063,HON. KEVIN YODER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/4/2017,AP,E0491014,DUERST CATE S.,2/6/2017,2/16/2017,TAXI/PARKING/TOLLS,177.56,2017,DUERST CATE S.
Y000063,HON. KEVIN YODER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/27/2017,AP,E0497955,DUERST CATE S.,3/1/2017,3/9/2017,TAXI/PARKING/TOLLS,124.24,2017,DUERST CATE S.
Y000063,HON. KEVIN YODER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/30/2017,AP,E0498989,NATONSKI DAVID R.,2/22/2017,2/23/2017,TAXI/PARKING/TOLLS,187.03,2017,NATONSKI DAVID R.
Y000065,HON. TED S. YOHO,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/14/2017,AP,E0487133,HON TED S YOHO,1/13/2017,2/6/2017,TAXI/PARKING/TOLLS,113.62,2017,HON TED S YOHO
Y000065,HON. TED S. YOHO,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/4/2017,AP,E0493086,HON TED S YOHO,1/6/2017,1/27/2017,TAXI/PARKING/TOLLS,186.34,2017,HON TED S YOHO
Y000065,HON. TED S. YOHO,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/9/2017,AP,E0493166,HON TED S YOHO,2/5/2017,2/21/2017,TAXI/PARKING/TOLLS,130.2,2017,HON TED S YOHO
Y000065,HON. TED S. YOHO,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/3/2017,AP,E0471376,HON TED S YOHO,11/29/2016,12/11/2016,TAXI/PARKING/TOLLS,164.62,2016,HON TED S YOHO
Y000065,HON. TED S. YOHO,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/4/2017,AP,E0471231,RAWSON GREGORY N.,12/7/2016,12/10/2016,TAXI/PARKING/TOLLS,113.03,2016,RAWSON GREGORY N.
Y000065,HON. TED S. YOHO,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/27/2017,AP,E0497901,CAMMACK KATHRYN C.,9/20/2016,9/28/2016,TAXI/PARKING/TOLLS,160.11,2016,CAMMACK KATHRYN C.
Z000017,HON. LEE M. ZELDIN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/16/2017,AP,E0488148,CITIBANK GOV CARD SERVICE,2/10/2017,2/10/2017,TAXI/PARKING/TOLLS,348.09,2017,CITIBANK GOV CARD SERVICE
Z000017,HON. LEE M. ZELDIN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/10/2017,AP,E0476473,CITIBANK GOV CARD SERVICE,11/30/2016,12/25/2016,TAXI/PARKING/TOLLS,251.51,2016,CITIBANK GOV CARD SERVICE
Z000018,HON. RYAN K. ZINKE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/1/2017,AP,E0480473,CITIBANK GOV CARD SERVICE,11/1/2016,11/9/2016,TAXI/PARKING/TOLLS,225,2016,CITIBANK GOV CARD SERVICE
,COMMITTEE ON AGRICULTURE,2017Q1,GENERAL EXPENDITURES,TRAVEL,3/10/2017,AP,E0491687,MAXWELL JOSH,1/4/2017,1/31/2017,TAXI/PARKING/TOLLS,269.43,2017,MAXWELL JOSH
,COMMITTEE ON AGRICULTURE,2017Q1,GENERAL EXPENDITURES,TRAVEL,3/10/2017,AP,E0491692,BALZANO PAUL N.,1/29/2017,1/31/2017,TAXI/PARKING/TOLLS,100.81,2017,BALZANO PAUL N.
,COMMITTEE ON AGRICULTURE,2017Q1,GENERAL EXPENDITURES,TRAVEL,1/10/2017,AP,E0473292,JONES TRUMAN K,11/14/2016,11/15/2016,TAXI/PARKING/TOLLS,102.88,2016,JONES TRUMAN K
,COMMITTEE ON FINANCIAL SERVICE,2017Q1,GENERAL EXPENDITURES,TRAVEL,1/17/2017,AP,E0479102,HOSKINS ISAAC B.,12/12/2016,12/15/2016,TAXI/PARKING/TOLLS,132.97,2016,HOSKINS ISAAC B.
,COMM ON EDUCATION & WORKFORCE,2017Q1,GENERAL EXPENDITURES,TRAVEL,2/1/2017,AP,E0483458,JONES AMY M.,1/4/2017,1/31/2017,TAXI/PARKING/TOLLS,144.04,2017,JONES AMY M.
,HOUSE ADMINISTRATION,2017Q1,GENERAL EXPENDITURES,TRAVEL,3/8/2017,AP,E0494719,FLEET II JAMES P,2/23/2017,2/26/2017,TAXI/PARKING/TOLLS,307.03,2017,FLEET II JAMES P
,HOUSE ADMINISTRATION,2017Q1,GENERAL EXPENDITURES,TRAVEL,3/23/2017,AP,E0497734,SCHWEICKHARDT REYNOLD C.,2/13/2017,2/16/2017,TAXI/PARKING/TOLLS,216.04,2017,SCHWEICKHARDT REYNOLD C.
,COMMITTEE ON NATURAL RESOURCES,2017Q1,GENERAL EXPENDITURES,TRAVEL,3/22/2017,AP,E0495841,WEAVER KIEL P.,2/22/2017,2/24/2017,TAXI/PARKING/TOLLS,118.84,2017,WEAVER KIEL P.
,COMMITTEE ON NATURAL RESOURCES,2017Q1,GENERAL EXPENDITURES,TRAVEL,1/5/2017,AP,E0471606,FLUHR CHRISTOPHER N.,12/15/2016,12/16/2016,TAXI/PARKING/TOLLS,115.6,2016,FLUHR CHRISTOPHER N.
,COMMITTEE ON FOREIGN AFFAIRS,2017Q1,GENERAL EXPENDITURES,TRAVEL,3/29/2017,AP,E0498290,IOZZI MARK P.,2/10/2017,2/28/2017,TAXI/PARKING/TOLLS,122.05,2017,IOZZI MARK P.
,COMMITTEE ON JUDICIARY,2017Q1,GENERAL EXPENDITURES,TRAVEL,3/2/2017,AP,E0489929,APELBAUM PERRY,2/12/2017,2/12/2017,TAXI/PARKING/TOLLS,120.27,2017,APELBAUM PERRY
,VETERANS' AFFAIRS,2017Q1,GENERAL EXPENDITURES,TRAVEL,3/6/2017,AP,E0493198,BONZANTO TAMARA,1/30/2017,2/2/2017,TAXI/PARKING/TOLLS,140,2017,BONZANTO TAMARA
,COMMITTEE ON WAYS AND MEANS,2017Q1,GENERAL EXPENDITURES,TRAVEL,3/14/2017,AP,E0493130,GUAGLIANONE PAUL D.,2/2/2017,2/22/2017,TAXI/PARKING/TOLLS,102.82,2017,GUAGLIANONE PAUL D.
,INTELLIGENCE,2017Q1,GENERAL EXPENDITURES,TRAVEL,2/21/2017,AP,E0486591,CITIBANK GOV CARD SERVICE,1/5/2017,1/28/2017,TAXI/PARKING/TOLLS,200.77,2017,CITIBANK GOV CARD SERVICE
,INTELLIGENCE,2017Q1,GENERAL EXPENDITURES,TRAVEL,3/1/2017,AP,E0488201,CIARLANTE NICHOLAS A.,2/8/2017,2/11/2017,TAXI/PARKING/TOLLS,101.53,2017,CIARLANTE NICHOLAS A.
,INTELLIGENCE,2017Q1,GENERAL EXPENDITURES,TRAVEL,3/16/2017,AP,E0495007,STUART SHANNON E.,2/8/2017,2/25/2017,TAXI/PARKING/TOLLS,188.32,2017,STUART SHANNON E.
,INTELLIGENCE,2017Q1,GENERAL EXPENDITURES,TRAVEL,3/17/2017,AP,E0494992,CITIBANK GOV CARD SERVICE,1/29/2017,2/27/2017,TAXI/PARKING/TOLLS,389.59,2017,CITIBANK GOV CARD SERVICE
,INTELLIGENCE,2017Q1,GENERAL EXPENDITURES,TRAVEL,3/29/2017,AP,E0498860,MAJOR LISA D.,2/21/2017,2/25/2017,TAXI/PARKING/TOLLS,129.38,2017,MAJOR LISA D.
,INTELLIGENCE,2017Q1,GENERAL EXPENDITURES,TRAVEL,3/29/2017,AP,E0498863,BENNETT WELLS C.,2/20/2017,2/25/2017,TAXI/PARKING/TOLLS,135.4,2017,BENNETT WELLS C.
,INTELLIGENCE,2017Q1,GENERAL EXPENDITURES,TRAVEL,3/29/2017,AP,E0498869,CAMPBELL CHELSEY MARIE,2/8/2017,2/25/2017,TAXI/PARKING/TOLLS,127,2017,CAMPBELL CHELSEY MARIE
,HOMELAND SECURITY,2017Q1,GENERAL EXPENDITURES,TRAVEL,3/15/2017,AP,E0493862,ANSTINE PAUL L,2/20/2017,2/23/2017,TAXI/PARKING/TOLLS,120.5,2017,ANSTINE PAUL L
,HOMELAND SECURITY,2017Q1,GENERAL EXPENDITURES,TRAVEL,3/23/2017,AP,E0496047,DUVAL CLAIRE C.,2/12/2017,2/16/2017,TAXI/PARKING/TOLLS,156.82,2017,DUVAL CLAIRE C.
,OFFICE OF CONGRESSIONAL ETHICS,2017Q1,OFFICE OF CONGRESSIONAL ETHICS,TRAVEL,1/30/2017,AP,E0482362,CITIBANK GOV CARD SERVICE,12/14/2016,12/14/2016,TAXI/PARKING/TOLLS,122.89,2016,CITIBANK GOV CARD SERVICE
